external_gene_name,entrezgene_id
NRSN2,80023
NRSN2,80023
NRSN2,80023
NRSN2,80023
NRSN2,80023
NRSN2,80023
DTWD1,56986
DTWD1,56986
NRSN2,80023
CCDC80,151887
CCDC80,151887
PSMC6,5706
NRSN2,80023
PPP1R9A,55607
PPP1R9A,55607
PPP1R9A,55607
PPP1R9A,55607
NRSN2,80023
NR2E3,10002
NRSN2,80023
PSMC6,5706
DTWD1,56986
ZNF232,7775
ZNF232,7775
ZNF232,7775
ZNF232,7775
ZNF232,7775
ZNF232,7775
ZNF232,7775
ZNF232,7775
PSMC6,5706
NRSN2,80023
NRSN2,80023
PPP1R9A,55607
PPP1R9A,55607
PPP1R9A,55607
PPP1R9A,55607
PSMC6,5706
PSMC6,5706
PPP1R9A,55607
PSMC6,5706
CCDC120,90060
CCDC120,90060
PPP1R9A,55607
PPP1R9A,55607
PPP1R9A,55607
PPP1R9A,55607
DTWD1,56986
DTWD1,56986
PSMC6,5706
RSF1,51773
RSF1,51773
RSF1,51773
RSF1,51773
RSF1,51773
RSF1,51773
RSF1,51773
RSF1,51773
CCDC120,90060
CCDC120,90060
DTWD1,56986
ZNF232,7775
RSF1,51773
RSF1,51773
RSF1,51773
RSF1,51773
RSF1,51773
RSF1,51773
RSF1,51773
FCHSD2,9873
FCHSD2,9873
FCHSD2,9873
